               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.025555,            0.014069,           0.0038736,             0.81109,             0.50688,             0.60049,             0.38197,            0.034821,           0.0086327,            0.014882,            0.001684,            0.001684,            0.001684
                  86,             0.02591,            0.014611,           0.0035916,             0.86013,             0.46851,             0.59403,             0.37478,            0.034768,            0.008617,            0.015898,            0.001585,            0.001585,            0.001585
                  87,             0.02528,            0.014098,           0.0034329,             0.87913,             0.45993,             0.58844,             0.38182,            0.035015,            0.008797,            0.014231,            0.001486,            0.001486,            0.001486
                  88,            0.025183,             0.01442,            0.003709,             0.85199,             0.48812,             0.58996,             0.37946,            0.035019,           0.0087121,            0.014744,            0.001387,            0.001387,            0.001387
                  89,            0.025296,            0.014045,           0.0033615,              0.8817,             0.45079,             0.58691,              0.3736,            0.035197,           0.0087753,            0.014233,            0.001288,            0.001288,            0.001288
                  90,            0.024964,            0.014379,           0.0034074,             0.59405,             0.57805,             0.58914,             0.38153,            0.034956,           0.0088249,            0.013881,            0.001189,            0.001189,            0.001189
                  91,            0.024695,            0.013917,           0.0033546,              0.8682,             0.48406,             0.59734,             0.38097,            0.034852,           0.0087022,            0.014807,             0.00109,             0.00109,             0.00109
                  92,            0.024918,            0.014726,           0.0033845,             0.85046,             0.49569,             0.59417,             0.38404,            0.034861,           0.0087979,            0.013964,            0.000991,            0.000991,            0.000991
                  93,            0.024738,            0.014194,            0.003068,             0.87281,             0.49584,             0.60825,             0.39171,            0.034847,           0.0087407,            0.013635,            0.000892,            0.000892,            0.000892
                  94,            0.024761,            0.014045,           0.0034537,             0.87074,             0.46707,             0.59081,              0.3825,            0.034853,             0.00888,            0.014829,            0.000793,            0.000793,            0.000793
                  95,            0.024442,            0.014205,           0.0032393,             0.88404,             0.47692,              0.6021,             0.38512,            0.034886,           0.0088008,            0.014733,            0.000694,            0.000694,            0.000694
                  96,            0.024741,            0.014416,           0.0031595,             0.59995,             0.58632,             0.58861,             0.37272,            0.034901,           0.0089435,            0.014966,            0.000595,            0.000595,            0.000595
                  97,            0.024424,            0.013919,           0.0030532,             0.59852,             0.59893,             0.59929,             0.37988,            0.034792,           0.0089194,            0.014646,            0.000496,            0.000496,            0.000496
                  98,             0.02448,             0.01411,            0.002992,              0.6171,             0.58245,             0.59684,             0.38812,            0.034758,           0.0088927,            0.014966,            0.000397,            0.000397,            0.000397
                  99,            0.024112,            0.013638,           0.0028507,             0.72238,             0.55868,             0.59899,             0.38961,            0.034726,           0.0089118,            0.014934,            0.000298,            0.000298,            0.000298
